,,Unnamed: 0,Unnamed: 0.1,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num
4062,4157,6250,10075,Budrus,2009,4,Israel,Documentary,Unrated,70,2010-10-08,Julia Bacha,['nan'],Arabic,7.8,68353.0,10639535233.0,187290939.0,34
4063,4158,6251,10076,"Buen Día, Ramón",2013,29,Mexico,Drama,Rated,120,2015-01-30,Jorge Ramírez Suárez,"['Kristyan Ferrer', ' Ingeborg Schöner', ' Adriana Barraza']",German,7.6,154356.0,10354970864.0,1679582816.0,33
4064,4159,6252,10078,Buena Vista Social Club: Adios,2017,80,Cuba,Documentary,Rated,110,2017-05-26,Lucy Walker,"['Ibrahim Ferrer', ' Omara Portuondo', "" Manuel 'Guajiro' Mirabal""]",English,6.9,123445.0,11216236720.0,50850748.0,33
4065,4160,6256,10087,Building Hope,2011,1,USA,Documentary,Rated,70,2011-06-03,Turk Pipkin,['nan'],English,,3500.0,10589599184.0,93825307.0,30
4066,4161,6259,10092,Bullet to the Head,2012,2404,USA,Action,Rated,92,2013-02-01,Walter Hill,"['Sylvester Stallone', ' Sung Kang', ' Sarah Shahi']",English,5.7,9489829.0,11041914748.0,2219810902.0,24
4067,4162,6260,10093,The Bullet Vanishes,2012,14,China,Action,Unrated,108,2012-08-31,Chi-Leung Law,"['Nicholas Tse', ' Ching Wan Lau', ' Mi Yang']",Mandarin,6.6,117629.0,10187347362.0,2117507233.0,46
4068,4163,6262,10097,Bullett Raja,2013,0,India,Action,Unrated,138,2013-11-28,Tigmanshu Dhulia,"['Saif Ali Khan', ' Jimmy Shergill', ' Vidyut Jamwal']",Hindi,5.1,0.0,11041914748.0,2219810902.0,42
4069,4164,6263,10098,Bullhead,2011,34,Belgium,Crime,Rated,129,2012-02-17,Michaël R. Roskam,"['Matthias Schoenaerts', ' Jeroen Perceval', ' Jeanne Dandoy']",Flemish,7.4,151840.0,10187347362.0,,29
4070,4165,6266,10106,Burden,2016,13,UK,Documentary,Unrated,88,2017-05-05,Richard Dewey,"['Chris Burden', ' Marina Abramovic', ' Vito Acconci']",English,6.4,18440.0,11216236720.0,50850748.0,33
4071,4166,6268,10109,Buried,2010,107,Spain,Drama,Rated,95,2010-09-24,Rodrigo Cortés,"['Ryan Reynolds', ' José Luis García Pérez', ' Robert Paterson']",English,7.0,1044143.0,10639535233.0,1834327761.0,36
4072,4167,6269,10110,Burke and Hare,2010,1,UK,Comedy,Rated,91,2011-09-09,John Landis,"['Bill Bailey', ' Tom Wilkinson', ' Michael Smiley']",English,6.2,4833.0,10589599184.0,1376087969.0,43
4073,4168,6270,10111,Burlesque,2010,3037,USA,Drama,Rated,119,2010-11-24,Steve Antin,"['Cher', ' Christina Aguilera', ' Eric Dane']",English,6.4,39440655.0,10639535233.0,1834327761.0,26
4074,4169,6271,10112,Burma VJ: Reporting from a Closed Country,2008,3,Denmark,Documentary,Unrated,84,2009-05-20,Anders Østergaard,"['George W. Bush', ' Ko Muang', ' Aung San Suu Kyi']",Burmese,8.0,51672.0,9750709587.0,87432868.0,27
4075,4170,6272,10113,Burn,2012,14,USA,Documentary,Unrated,86,2012-07-24,Tom Putnam,"['Donald Austin', ' Brendan Doogie Milewski', ' Craig Dougherty']",English,7.5,9961030.0,10187347362.0,82817592.0,23
4076,4171,6273,10114,Burn After Reading,2008,2657,USA,Comedy,Rated,96,2008-09-12,Ethan Coen,"['George Clooney', ' Frances McDormand', ' Brad Pitt']",English,7.0,60355347.0,9767268194.0,1427703732.0,30
4077,4173,6275,10116,Burning Bodhi,2015,10,USA,Drama,Rated,93,2016-03-18,Matthew McDuffie,"['Sasha Pieterse', ' Kaley Cuoco', ' Virginia Madsen']",English,4.8,3289.0,11149116327.0,2060252692.0,42
4078,4174,6276,10118,The Burning Plain,2008,26,USA,Crime,Rated,107,2009-09-18,Guillermo Arriaga,"['Charlize Theron', ' John Corbett', ' José María Yazpik']",English,6.8,200730.0,9750709587.0,,32
4079,4175,6277,10120,Burnt,2015,3003,USA,Comedy,Rated,101,2015-10-30,John Wells,"['Bradley Cooper', ' Sienna Miller', ' Daniel Brühl']",English,6.6,13651946.0,10354970864.0,1272411206.0,53
4080,4176,6279,10123,Busco novio para mi mujer,2016,357,Mexico,Comedy,Rated,92,2016-02-19,Enrique Begné,"['Sandra Echeverría', ' Arath de la Torre', ' Jesús Ochoa']",Spanish,5.6,1741889.0,11149116327.0,1321791183.0,26
4081,4177,6281,10127,The Business of Being Born,2008,3,USA,Documentary,Rated,87,2008-01-09,Abby Epstein,"['Mary Helen Ayres', ' Julia Barnett', ' Sylvie Blaustein']",English,7.4,69991.0,9767268194.0,70723219.0,16
4082,4178,6284,10131,Buster's Mal Heart,2016,18,USA,Drama,Unrated,96,2017-04-28,Sarah Adina Smith,"['Rami Malek', ' DJ Qualls', ' Kate Lyn Sheil']",English,5.9,73121.0,11216236720.0,1339173437.0,38
4083,4179,6285,10132,Bustin' Down the Door,2008,17,USA,Documentary,Unrated,95,2008-07-25,Jeremy Gosch,"['Reno Abellira', ' Clyde Aikau', ' Eddie Aikau']",English,6.9,109427.0,9767268194.0,70723219.0,24
4084,4180,6286,10139,"The Butcher, the Chef, and the Swordsman",2010,37,China,Action,Rated,92,2011-03-18,Wuershan,"['Masanobu Andô', ' Swanson Han', ' Xiaoye Liu']",Mandarin,5.7,47896.0,10589599184.0,1491832495.0,30
4085,4181,6287,10140,Butter,2011,90,USA,Comedy,Rated,90,2012-10-05,Jim Field Smith,"['Jennifer Garner', ' Ty Burrell', ' Garrett Schenck']",English,6.2,105018.0,10187347362.0,1490816438.0,44
4086,4182,6290,10144,Butterfly Girl,2014,3,USA,Documentary,Rated,78,2015-04-03,Cary Bell,"['Abigail Evans', ' John Evans', ' Stacie Evans']",English,8.7,17503.0,10354970864.0,88392417.0,45
4087,4183,6291,10146,The Butterfly Room,2012,1,Italy,Horror,Unrated,87,2014-04-11,Jonathan Zarantonello,"['Barbara Steele', ' Ray Wise', ' Erica Leerhsen']",English,5.6,1081.0,10893180888.0,448523012.0,33
4088,4184,6292,10147,Buzzard,2014,11,USA,Comedy,Unrated,97,2015-03-06,Joel Potrykus,"['Joshua Burge', ' Joel Potrykus', ' Teri Ann Nelson']",English,6.4,14591.0,10354970864.0,1272411206.0,33
4089,4185,6293,10148,BuzzKill,2012,1,USA,Comedy,Unrated,94,2012-01-20,Steven Kampmann,"['Daniel Raymont', ' Krysten Ritter', ' Darrell Hammond']",English,4.7,5860.0,10187347362.0,1490816438.0,30
4090,4186,6294,10151,Gemma Bovery,2014,29,France,Comedy,Rated,99,2015-05-29,Anne Fontaine,"['Fabrice Luchini', ' Gemma Arterton', ' Jason Flemyng']",French,6.4,191533.0,10354970864.0,1272411206.0,45
4091,4187,6295,10155,General Education,2012,4,USA,Comedy,Rated,94,2012-08-24,Tom Morris,"['Chris Sheffield', ' Maiara Walsh', ' Sam Ayers']",English,4.4,8601.0,10187347362.0,1490816438.0,46
4092,4188,6296,10156,General Orders No. 9,2009,1,USA,,Unrated,72,2011-06-24,Robert Persons,['William Davidson'],English,6.0,0.0,10589599184.0,,30
4093,4189,6297,10158,Generation Found,2016,22,USA,Documentary,Rated,85,2016-08-29,Jeff Reilly,['nan'],English,9.2,151751.0,11149116327.0,65052467.0,44
4094,4190,6298,10159,Generation Iron,2013,84,USA,Documentary,Rated,106,2013-09-20,Vlad Yudin,"['Arnold Schwarzenegger', ' Mickey Rourke', ' Lou Ferrigno']",English,7.1,849521.0,11041914748.0,131885122.0,51
4095,4191,6299,10160,Generation Iron 2,2017,2,USA,Documentary,Rated,106,2017-05-12,Vlad Yudin,"['Arnold Schwarzenegger', ' Martyn Ford', ' Kai Greene']",English,6.1,4439.0,11216236720.0,50850748.0,33
4096,4192,6300,10161,Generation Startup,2016,1,USA,Documentary,Rated,93,2016-09-23,Cheryl Miller Houser(co-director),"['Dextina Booker', ' Kate Catlin', ' Avery Hairston']",English,7.9,22271.0,11149116327.0,65052467.0,54
4097,4193,6301,10162,Generation War,2013,7,Germany,Action,Rated,270,2014-01-15,,"['Volker Bruch', ' Tom Schilling', ' Katharina Schüttler']",German,8.5,91595.0,10893180888.0,2225063194.0,32
4098,4194,6302,10163,Generational Sins,2017,0,USA,Drama,Rated,90,2017-10-06,Spencer T. Folmar,"['Daniel MacPherson', ' Dax Spanogle', ' Barrett Donner']",English,8.7,0.0,11216236720.0,1339173437.0,47
4099,4195,6303,10166,Genius,2016,152,UK,Biography,Rated,104,2016-06-10,Michael Grandage,"['Colin Firth', ' Jude Law', ' Nicole Kidman']",English,6.5,1361045.0,11149116327.0,,42
4100,4196,6305,10168,Genius Within: The Inner Life of Glenn Gould,2009,9,Canada,Documentary,Unrated,106,2010-09-10,Michèle Hozer,"['Cornelia Foss', ' Glenn Gould']",English,7.4,167508.0,10639535233.0,187290939.0,36
4101,4197,6306,10169,A Gentleman,2017,135,India,Action,Rated,145,2017-08-25,Krishna D.K.,"['Sidharth Malhotra', ' Jacqueline Fernandez', ' Darshan Kumar']",Hindi,7.1,418870.0,11216236720.0,2297451379.0,42
4102,4198,6307,10172,Gentlemen Broncos,2009,18,USA,Adventure,Rated,90,2009-10-30,Jared Hess,"['Michael Angarano', ' John Baker', ' Robin Ballard']",English,6.2,113682.0,9750709587.0,2689254029.0,37
4103,4199,6309,10176,George Takei's Allegiance,2016,476,USA,Musical,Rated,130,2017-02-19,Lorenzo Thione,"['Aaron Albano', ' Belinda Allyn', ' Marcus Choi']",English,9.7,784850.0,11216236720.0,38847967.0,30
4104,4200,6311,10179,Georgia Rule,2007,2531,USA,Comedy,Rated,113,2007-05-11,Garry Marshall,"['Jane Fonda', ' Lindsay Lohan', ' Felicity Huffman']",English,5.9,19103072.0,9190502983.0,1955138318.0,13
4105,4201,6312,10180,Geostorm,2017,3246,USA,Action,Rated,109,2017-10-20,Dean Devlin,"['Gerard Butler', ' Jim Sturgess', ' Abbie Cornish']",English,6.5,30538892.0,11216236720.0,2297451379.0,47
4106,4202,6313,10181,Gerhard Richter - Painting,2011,9,Germany,Documentary,Unrated,97,2012-03-14,Corinna Belz,"['Gerhard Richter', ' Norbert Arns', ' Hubert Becker']",German,7.2,242646.0,10187347362.0,82817592.0,49
4107,4203,6314,10182,The German Doctor,2013,39,Argentina,Drama,Rated,93,2014-04-25,Lucía Puenzo,"['Alex Brendemühl', ' Natalia Oreiro', ' Diego Peretti']",Spanish,6.8,418392.0,10893180888.0,1338281892.0,33
4108,4204,6315,10183,Germans & Jews,2016,2,USA,Documentary,Rated,76,2016-06-10,Janina Quint,['nan'],English,8.5,38100.0,11149116327.0,65052467.0,42
4109,4205,6316,10185,Gerontophilia,2013,1,Canada,Comedy,Unrated,82,2015-05-01,Bruce La Bruce,"['Pier-Gabriel Lajoie', ' Walter Borden', ' Katie Boland']",English,6.2,4916.0,10354970864.0,1272411206.0,45
4110,4206,6319,10190,Get Hard,2015,3212,USA,Comedy,Rated,100,2015-03-27,Etan Cohen,"['Will Ferrell', ' Kevin Hart', ' Craig T. Nelson']",English,6.0,90411453.0,10354970864.0,1272411206.0,33
4111,4207,6320,10191,Get Him to the Greek,2010,2702,USA,Comedy,Rated,109,2010-06-04,Nicholas Stoller,"['Russell Brand', ' Rose Byrne', ' Tyler McKinney']",English,6.4,60974475.0,10639535233.0,1435263724.0,29
4112,4208,6321,10192,Get Low,2009,570,USA,Drama,Rated,103,2010-07-30,Aaron Schneider,"['Robert Duvall', ' Sissy Spacek', ' Bill Murray']",English,7.1,9176933.0,10639535233.0,1834327761.0,31
4113,4209,6322,10194,Get on Up,2014,2469,UK,Biography,Rated,139,2014-08-01,Tate Taylor,"['Chadwick Boseman', ' Nelsan Ellis', ' Dan Aykroyd']",English,6.9,30703100.0,10893180888.0,,38
4114,4210,6323,10195,Get Out,2017,3143,USA,Horror,Rated,104,2017-02-24,Jordan Peele,"['Daniel Kaluuya', ' Allison Williams', ' Catherine Keener']",English,7.7,175484140.0,11216236720.0,479705329.0,30
4115,4212,6327,10201,Get Smart,2008,3915,USA,Action,Rated,110,2008-06-20,Peter Segal,"['Steve Carell', ' Anne Hathaway', ' Dwayne Johnson']",English,6.5,130319208.0,9767268194.0,1481747614.0,29
4116,4213,6328,10202,Get the Girl,2017,0,USA,Action,Rated,87,2017-01-26,Eric England,"['Justin Dobies', ' Elizabeth Whitson', ' Noah Segan']",,5.1,0.0,11216236720.0,2297451379.0,33
4117,4214,6329,10204,Gett: The Trial of Viviane Amsalem,2014,74,Israel,Drama,Unrated,115,2015-02-13,Ronit Elkabetz,"['Ronit Elkabetz', ' Simon Abkarian', ' Gabi Amrani']",Hebrew,7.7,988150.0,10354970864.0,1679582816.0,31
4118,4215,6331,10213,Yuvvraaj,2008,77,India,Comedy,Rated,151,2008-11-21,Subhash Ghai,"['Salman Khan', ' Anil Kapoor', ' Zayed Khan']",Hindi,4.2,570090.0,9767268194.0,1427703732.0,22
4119,4216,6332,10214,Yves Saint Laurent,2014,24,France,Biography,Rated,106,2014-06-25,Jalil Lespert,"['Pierre Niney', ' Guillaume Gallienne', ' Charlotte Le Bon']",French,6.2,723593.0,10893180888.0,,42
4120,4217,6333,10216,Hybrid,2007,2,USA,Sci-Fi,Rated,90,2002-05-10,Yelena Lanskaya,"['Justine Bateman', ' Tinsel Korey', ' William MacDonald']",English,3.3,164386.0,,,2
4121,4218,6334,10217,Hyde Park on Hudson,2012,246,UK,Biography,Rated,94,2012-12-07,Roger Michell,"['Bill Murray', ' Laura Linney', ' Samuel West']",English,5.9,6376145.0,10187347362.0,,21
4122,4219,6335,10218,Hyena,2014,6,UK,Crime,Unrated,112,2015-05-01,Gerard Johnson,"['Peter Ferdinando', ' Stephen Graham', ' Neil Maskell']",English,6.1,3401.0,10354970864.0,,45
4123,4220,6336,10219,Hyena Road,2015,10,Canada,Drama,Rated,120,2016-03-11,Paul Gross,"['Rossif Sutherland', ' Allan Hawco', ' David Richmond-Peck']",English,6.5,1430.0,11149116327.0,2060252692.0,42
4124,4221,6337,10220,Hysteria,2011,218,UK,Comedy,Rated,100,2012-05-18,Tanya Wexler,"['Hugh Dancy', ' Maggie Gyllenhaal', ' Jonathan Pryce']",English,6.7,1804139.0,10187347362.0,1490816438.0,34
4125,4222,6338,10225,He Named Me Malala,2015,477,USA,Documentary,Rated,88,2015-10-02,Davis Guggenheim,"['Malala Yousafzai', ' Ziauddin Yousafzai', ' Toor Pekai Yousafzai']",English,6.8,2668936.0,10354970864.0,88392417.0,53
4126,4223,6339,10227,He Was a Quiet Man,2007,3,USA,Drama,Unrated,95,2007-11-30,Frank A. Cappello,"['Michael DeLuise', ' Christian Slater', ' Jamison Jones']",English,6.8,2431.0,9190502983.0,1566075796.0,27
4127,4224,6340,10228,He's Just Not That Into You,2009,3175,Germany,Comedy,Rated,129,2009-02-06,Ken Kwapis,"['Morgan Lily', ' Trenton Rogers', ' Michelle Carmichael']",English,6.4,93953653.0,9750709587.0,2099450726.0,18
4128,4226,6342,10231,Head Games,2012,5,USA,Documentary,Rated,95,2012-09-21,Steve James,"['Gene Atkins', ' Laura Balcer', ' Hunt Batjer']",English,7.4,14056.0,10187347362.0,82817592.0,43
4129,4227,6346,10237,Headhunters,2011,60,Norway,Crime,Rated,96,2012-04-27,Morten Tyldum,"['Aksel Hennie', ' Synnøve Macody Lund', ' Nikolaj Coster-Waldau']",Norwegian,7.6,1200010.0,10187347362.0,,36
4130,4228,6348,10239,The Headless Woman,2008,3,Argentina,Drama,Unrated,87,2009-08-19,Lucrecia Martel,"['María Onetto', ' Claudia Cantero', ' Inés Efron']",Spanish,6.5,100177.0,9750709587.0,1089198448.0,24
4131,4229,6349,10240,Headshot,2016,1,Indonesia,Action,Rated,118,2012-09-28,Kimo Stamboel,"['Iko Uwais', ' Chelsea Islan', ' Sunny Pang']",Indonesian,6.4,1373.0,10187347362.0,2117507233.0,43
4132,4230,6351,10242,Heal the Living,2016,2,France,Drama,Unrated,103,2017-04-14,Katell Quillévéré,"['Tahar Rahim', ' Emmanuelle Seigner', ' Anne Dorval']",French,7.1,3176.0,11216236720.0,1339173437.0,38
4133,4231,6356,10255,Heartbeat Detector,2007,2,France,Drama,Unrated,143,2008-03-14,Nicolas Klotz,"['Mathieu Amalric', ' Michael Lonsdale', ' Edith Scob']",French,6.2,5309.0,9767268194.0,1293680617.0,32
4134,4232,6357,10256,Heartbeats,2010,10,Canada,Drama,Unrated,101,2011-02-25,Xavier Dolan,"['Monia Chokri', ' Niels Schneider', ' Xavier Dolan']",French,7.2,68723.0,10589599184.0,1687447132.0,23
4135,4233,6360,10260,The Heartbreak Kid,2007,3233,USA,Comedy,Rated,116,2007-10-05,Bobby Farrelly,"['Ben Stiller', ' Malin Akerman', ' Michelle Monaghan']",English,5.8,36787257.0,9190502983.0,1955138318.0,31
4136,4234,6361,10262,Heartbreaker,2010,43,France,Comedy,Unrated,105,2010-09-10,Pascal Chaumeil,"['Romain Duris', ' Vanessa Paradis', ' Julie Ferrier']",French,6.8,504030.0,10639535233.0,1435263724.0,36
4137,4235,6363,10265,Heartless,2009,1,UK,Drama,Rated,114,2010-11-19,Philip Ridley,"['Jim Sturgess', ' Luke Treadaway', ' Clémence Poésy']",English,6.0,3697.0,10639535233.0,1834327761.0,26
4138,4236,6365,10270,The Heat,2013,3184,USA,Action,Rated,117,2013-06-28,Paul Feig,"['Sandra Bullock', ' Melissa McCarthy', ' Demián Bichir']",English,6.6,159582188.0,11041914748.0,2219810902.0,41
4139,4237,6369,10279,Heaven Is for Real,2014,3048,USA,Biography,Rated,99,2014-04-16,Randall Wallace,"['Greg Kinnear', ' Kelly Reilly', ' Thomas Haden Church']",English,5.8,91443253.0,10893180888.0,,33
4140,4238,6370,10280,Heaven Knows What,2014,14,USA,Drama,Rated,97,2015-05-29,Benny Safdie,"['Arielle Holmes', ' Caleb Landry Jones', ' Buddy Duress']",English,6.5,80734.0,10354970864.0,1679582816.0,45
4141,4239,6371,10287,Heavy Metal in Baghdad,2007,2,Canada,Documentary,Rated,84,2008-05-23,Suroosh Alvi,"['Firas Al-Lateef', ' Suroosh Alvi', ' Marwan Reyad']",English,7.8,4070.0,9767268194.0,70723219.0,23
4142,4240,6372,10288,Heavy Petting,2007,11,USA,Comedy,Rated,94,1989-09-22,Marcel Sarmiento,"['Malin Akerman', ' Brendan Hines', ' Mike Doyle']",English,4.5,272371.0,,,1
4143,4241,6375,10291,Hecho en México,2012,26,Mexico,Documentary,Rated,98,2012-11-30,Duncan Bridgeman,"['Héctor Aguilar Camín', ' Rubén Albarrán', ' Amandititita']",Spanish,7.0,151133.0,10187347362.0,82817592.0,38
4144,4242,6376,10292,Hector and the Search for Happiness,2014,183,Germany,Adventure,Rated,114,2014-09-19,Peter Chelsom,"['Simon Pegg', ' Rosamund Pike', ' Tracy Ann Oberman']",English,7.0,1124445.0,10893180888.0,3400302355.0,46
4145,4243,6377,10293,The Hedgehog,2009,40,France,Drama,Unrated,100,2011-08-19,Mona Achache,"['Josiane Balasko', ' Garance Le Guillermic', ' Togo Igawa']",French,7.4,707945.0,10589599184.0,1687447132.0,38
4146,4244,6380,10297,The Heir Apparent: Largo Winch,2008,4,France,Action,Unrated,108,2011-11-18,Jérôme Salle,"['Tomer Sisley', ' Kristin Scott Thomas', "" Predrag 'Miki' Manojlovic""]",French,6.5,10352.0,10589599184.0,1491832495.0,28
4147,4245,6382,10302,Helena from the Wedding,2010,1,USA,Comedy,Rated,89,2010-11-12,Joseph Infantolino,"['Dagmara Dominczyk', ' Paul Fitzgerald', ' Dominic Fumusa']",English,4.7,4190.0,10639535233.0,1435263724.0,26
4148,4246,6383,10303,Heleno,2011,4,Brazil,Biography,Rated,116,2012-12-07,José Henrique Fonseca,"['Rodrigo Santoro', ' Alinne Moraes', ' Angie Cepeda']",Portuguese,7.0,0.0,10187347362.0,,21
4149,4247,6385,10305,Hell and Back,2015,411,USA,Animation,Rated,86,2015-10-02,Tom Gianas,"['Nick Swardson', ' Mila Kunis', ' Bob Odenkirk']",English,5.3,157768.0,10354970864.0,,53
4150,4248,6386,10306,Hell and Back Again,2011,4,USA,Documentary,Unrated,88,2011-10-05,Danfung Dennis,"['Nathan Harris', ' Ashley Harris', ' The Marines of Echo Company']",English,6.5,40634.0,10589599184.0,93825307.0,38
4151,4249,6387,10308,Hell Baby,2013,10,USA,Comedy,Rated,98,2013-09-06,Robert Ben Garant,"['Rob Corddry', ' Leslie Bibb', ' Alex Berg']",English,4.8,8785.0,11041914748.0,1050654625.0,51
4152,4250,6389,10310,Hell or High Water,2016,1505,USA,Crime,Rated,102,2016-08-12,David Mackenzie,"['Dale Dickey', ' Ben Foster', ' Chris Pine']",English,7.6,27007844.0,11149116327.0,,44
4153,4251,6390,10311,Hell Ride,2008,82,USA,Action,Rated,84,2008-08-08,Larry Bishop,"['Julia Jones', ' Larry Bishop', ' Leonor Varela']",English,5.1,213608.0,9767268194.0,1481747614.0,34
4154,4252,6393,10317,Hellbound?,2012,5,Canada,Documentary,Unrated,84,2012-09-21,Kevin Miller,"['Kevin Miller', ' Jonathan Phelps', ' Margie Phelps']",English,6.2,22887.0,10187347362.0,82817592.0,43
4155,4253,6395,10319,Hellboy II: The Golden Army,2008,3212,USA,Action,Rated,120,2008-07-11,Guillermo del Toro,"['Ron Perlman', ' Selma Blair', ' Doug Jones']",English,7.0,75986503.0,9767268194.0,1481747614.0,24
4156,4254,6396,10320,Tarja: Hellfest,2016,0,France,Music,Rated,48,2018-10-12,Dominique Durand,['Tarja Turunen'],English,,0.0,10971586766.0,,1
4157,4255,6397,10322,Hellion,2014,9,USA,Drama,Rated,99,2014-06-13,Kat Candler,"['Aaron Paul', ' Juliette Lewis', ' Josh Wiggins']",English,6.1,55708.0,10893180888.0,1338281892.0,42
4158,4256,6398,10325,Hello Herman,2012,15,USA,Drama,Rated,90,2013-06-07,Michelle Danner,"['Norman Reedus', ' Garrett Backstrom', ' Martha Higareda']",English,5.9,8437.0,11041914748.0,1670662348.0,41
4159,4257,6399,10326,Hello I Must Be Going,2012,15,USA,Comedy,Rated,95,2012-09-07,Todd Louiso,"['Melanie Lynskey', ' Blythe Danner', ' John Rubinstein']",English,6.2,106709.0,10187347362.0,1490816438.0,43
4160,4258,6400,10327,"Hello, My Name Is Doris",2015,979,USA,Comedy,Rated,90,2016-03-11,Michael Showalter,"['Sally Field', ' Edmund Lupinski', ' Norma Michaels']",English,6.7,14444999.0,11149116327.0,1321791183.0,42
4161,4259,6401,10330,The Help,2011,3014,USA,Drama,Rated,146,2011-08-10,Tate Taylor,"['Emma Stone', ' Viola Davis', ' Bryce Dallas Howard']",English,8.1,169708112.0,10589599184.0,1687447132.0,38
4162,4260,6402,10331,Heneral Luna,2015,42,Philippines,Action,Rated,118,2015-10-30,Jerrold Tarog,"['John Arcilla', ' Mon Confiado', ' Arron Villaflor']",Filipino,7.8,206040.0,10354970864.0,2268082751.0,53
4163,4261,6403,10332,Henning Mankell's Wallander: The Revenge,2009,2,Sweden,Crime,Rated,93,2012-05-25,Charlotte Brändström,"['Krister Henriksson', ' Lena Endre', ' Sverrir Gudnason']",Swedish,,10960.0,10187347362.0,,34
4164,4262,6405,10336,Henry Poole Is Here,2008,527,USA,Comedy,Rated,99,2008-08-15,Mark Pellington,"['Luke Wilson', ' Radha Mitchell', ' Adriana Barraza']",English,6.5,1836515.0,9767268194.0,1427703732.0,34
4165,4263,6406,10338,Henry's Crime,2010,8,USA,Comedy,Rated,108,2011-04-08,Malcolm Venville,"['Keanu Reeves', ' Judy Greer', ' Fisher Stevens']",English,6.0,102541.0,10589599184.0,1376087969.0,40
4166,4264,6409,10343,Herb & Dorothy,2008,8,USA,Documentary,Unrated,87,2009-06-05,Megumi Sasaki,"['Paula Antebi', ' Will Barnet', ' Robert Barry']",English,7.6,194721.0,9750709587.0,87432868.0,24
4167,4265,6412,10351,The Here After,2015,0,Sweden,Drama,Rated,102,2017-05-26,Magnus von Horn,"['Ulrik Munther', ' Mats Blomgren', ' Sven Ahlström']",Swedish,6.6,0.0,11216236720.0,1339173437.0,33
4168,4266,6413,10352,Here and There,2009,5,Serbia,Comedy,Unrated,85,2010-05-14,Darko Lungulov,"['David Thornton', ' Mirjana Karanovic', ' Cyndi Lauper']",Serbian,6.4,27156.0,10639535233.0,1435263724.0,29
4169,4267,6414,10355,Here Comes the Boom,2012,3014,USA,Action,Rated,105,2012-10-12,Frank Coraci,"['Kevin James', ' Salma Hayek', ' Henry Winkler']",English,6.4,45290318.0,10187347362.0,2117507233.0,44
4170,4268,6415,10356,Here Comes the Devil,2012,2,Mexico,Horror,Unrated,97,2013-12-13,Adrián García Bogliano,"['Francisco Barreiro', ' Laura Caro', ' Alan Martinez']",Spanish,5.6,4534.0,11041914748.0,308863451.0,27
4171,4269,6417,10358,Hereafter,2010,2424,USA,Drama,Rated,129,2010-10-15,Clint Eastwood,"['Cécile De France', ' Thierry Neuvic', ' Cyndi Mayo Davis']",English,6.5,32746941.0,10639535233.0,1834327761.0,34
4172,4270,6419,10360,Herman's House,2012,2,USA,Documentary,Unrated,80,2013-04-19,Angad Bhalla,"['Jackie Sumell', ' Herman Wallace']",English,6.2,4956.0,11041914748.0,131885122.0,37
4173,4271,6420,10361,Hermano,2007,49,Italy,Drama,Rated,0,2012-08-24,Giovanni Robbiano,"['Ignazio Oliva', ' Rade Serbedzija', ' Paolo Villaggio']",,7.2,29864.0,10187347362.0,1490190858.0,46
4174,4272,6421,10362,Hermia & Helena,2016,4,Argentina,Comedy,Unrated,87,2017-05-26,Matías Piñeiro,"['Agustina Muñoz', ' María Villar', ' Mati Diop']",English,6.1,43152.0,11216236720.0,1302997778.0,33
4175,4273,6422,10363,The Hero,2017,447,USA,Comedy,Rated,93,2017-06-09,Brett Haley,"['Sam Elliott', ' Laura Prepon', ' Nick Offerman']",English,6.6,4077333.0,11216236720.0,1302997778.0,46
4176,4274,6426,10369,The Hero of Color City,2014,69,USA,Animation,Rated,77,2014-10-03,Frank Gladstone,"['Elizabeth Daily', ' Christina Ricci', ' Tom Lowell']",English,4.1,32188.0,10893180888.0,,56
4177,4275,6427,10372,Heroine,2012,114,India,Drama,Unrated,149,2012-09-21,Madhur Bhandarkar,"['Kareena Kapoor Khan', ' Arjun Rampal', ' Randeep Hooda']",Hindi,5.1,598668.0,10187347362.0,1490190858.0,43
4178,4276,6428,10373,Heropanti,2014,16,India,Action,Unrated,146,2014-05-23,Sabir Khan,"['Tiger Shroff', ' Kriti Sanon', ' Parth Akerkar']",Hindi,5.4,63649.0,10893180888.0,2225063194.0,41
4179,4277,6429,10374,Hesher,2010,42,USA,Comedy,Rated,106,2011-05-13,Spencer Susser,"['Joseph Gordon-Levitt', ' Devin Brochu', ' Rainn Wilson']",English,7.1,382946.0,10589599184.0,1376087969.0,28
4180,4278,6432,10378,The Heyday of the Insensitive Bastards,2017,0,USA,Comedy,Rated,97,2017-10-27,Mark Columbus,"['Rico Rodriguez', ' Matthew Modine', ' James Franco']",English,4.4,0.0,11216236720.0,1302997778.0,47
4181,4279,6433,10379,Heyy Babyy,2007,68,India,Comedy,Rated,144,2007-08-24,Sajid Khan,"['Juanna Sanghvi', ' Akshay Kumar', ' Fardeen Khan']",Hindi,6.1,1443521.0,9190502983.0,1955138318.0,26
4182,4280,6434,10381,Pyaar Ka Punchnama 2,2015,49,India,Comedy,Unrated,137,2015-10-16,Luv Ranjan,"['Sunny Singh Nijjar', ' Sonalli Sehgal', ' Kartik Aaryan']",Hindi,7.3,222856.0,10354970864.0,1272411206.0,53
